date,open,high,low,close
2024-04-19,2379.15,2417.71,2372.72,2392.14
2024-04-21,2386.55,2388.5,2381.48,2383.62
2024-04-22,2383.63,2387.7,2324.49,2330.26
2024-04-23,2330.27,2334.35,2291.3,2321.64
2024-04-24,2321.65,2337.21,2311.58,2317.8
2024-04-25,2317.63,2344.8,2304.83,2332.41
2024-04-26,2332.4,2352.43,2326.15,2337.88
2024-04-28,2335.67,2337.15,2332.37,2334.57
2024-04-29,2334.46,2346.64,2319.63,2334.77
2024-04-30,2334.95,2336.1,2284.98,2291.25
2024-05-01,2291.27,2328.23,2281.5,2320.69
2024-05-02,2320.75,2326.32,2285.43,2303.81
2024-05-03,2303.82,2320.73,2277.23,2301.34
2024-05-05,2303.34,2303.35,2300.22,2301.72
2024-05-06,2301.7,2331.94,2291.73,2326.62
2024-05-07,2326.61,2329.86,2309.77,2314.35
2024-05-08,2314.34,2321.35,2303.6,2309.5
2024-05-09,2309.52,2347.61,2306.5,2346.22
2024-05-10,2346.23,2378.36,2345.82,2360.28
2024-05-12,2361.77,2363.0,2359.9,2361.3
2024-05-13,2361.33,2364.41,2331.83,2337.44
2024-05-14,2337.47,2359.57,2334.68,2357.38
2024-05-15,2357.37,2390.19,2351.65,2388.93
2024-05-16,2388.91,2397.39,2370.83,2378.25
2024-05-17,2378.24,2422.62,2373.76,2414.42
2024-05-19,2419.48,2425.2,2416.64,2417.63
2024-05-20,2417.55,2449.98,2407.19,2427.18
2024-05-21,2427.16,2433.84,2406.1,2421.85
2024-05-22,2421.84,2426.48,2374.78,2380.48
2024-05-23,2380.5,2383.63,2326.94,2330.82
2024-05-24,2330.83,2347.38,2325.32,2333.8
2024-05-26,2336.05,2340.52,2332.08,2340.18
2024-05-27,2340.17,2358.43,2334.33,2351.98
2024-05-28,2351.99,2364.03,2340.07,2359.03
2024-05-29,2359.07,2361.27,2334.49,2337.48
2024-05-30,2337.49,2351.74,2322.45,2343.99
2024-05-31,2343.92,2359.63,2320.42,2327.13
2024-06-02,2328.7,2329.32,2323.15,2326.27
2024-06-03,2326.28,2354.62,2314.56,2350.64
2024-06-04,2350.63,2352.7,2315.48,2327.62
2024-06-05,2327.61,2357.32,2325.72,2356.78
2024-06-06,2356.79,2378.47,2353.44,2376.81
2024-06-07,2376.82,2387.64,2286.61,2293.77
2024-06-09,2294.43,2298.34,2289.13,2297.39
2024-06-10,2297.38,2313.7,2287.58,2309.59
2024-06-11,2309.57,2319.86,2297.61,2316.67
2024-06-12,2316.69,2341.46,2310.65,2321.68
2024-06-13,2321.7,2326.56,2295.48,2302.77
2024-06-14,2302.79,2336.56,2301.43,2332.54
2024-06-16,2332.24,2333.06,2327.44,2328.65
2024-06-17,2328.7,2329.57,2309.78,2320.92
2024-06-18,2320.93,2333.05,2306.41,2328.1
2024-06-19,2328.08,2334.84,2322.86,2330.3
2024-06-20,2330.25,2365.4,2327.58,2359.19
2024-06-21,2359.18,2368.61,2316.66,2321.62
2024-06-23,2318.65,2322.71,2317.8,2321.37
2024-06-24,2321.29,2334.65,2317.56,2331.6
2024-06-25,2331.58,2337.06,2315.38,2320.51
2024-06-26,2320.58,2323.71,2293.52,2298.08
2024-06-27,2298.06,2330.87,2296.43,2326.76
2024-06-28,2326.74,2339.66,2318.91,2326.41
2024-06-30,2326.08,2326.8,2322.65,2324.35
2024-07-01,2324.38,2338.43,2318.38,2331.61
2024-07-02,2331.64,2336.74,2318.84,2329.9
2024-07-03,2329.88,2364.87,2326.73,2358.68
2024-07-04,2358.66,2362.44,2350.4,2357.25
2024-07-05,2357.27,2392.82,2345.4,2391.37
2024-07-07,2387.24,2390.02,2384.76,2385.23
2024-07-08,2385.28,2390.92,2350.86,2359.62
2024-07-09,2359.72,2371.39,2349.28,2364.18
2024-07-10,2364.23,2386.63,2363.16,2372.74
2024-07-11,2372.7,2424.44,2371.33,2413.88
2024-07-12,2413.91,2418.17,2391.27,2410.84
2024-07-14,2412.73,2414.9,2406.64,2407.4
2024-07-15,2407.3,2439.67,2401.17,2420.83
2024-07-16,2420.85,2469.92,2419.81,2468.87
2024-07-17,2468.95,2483.59,2451.42,2459.16
2024-07-18,2459.13,2474.75,2440.28,2444.2
2024-07-19,2444.21,2445.05,2393.64,2400.62
